機種,品番,摘要,檢印,建立日期
CS-LX28A2,C3932-0469,2015年分離變頻室內機(SAA版),陳縉融,2014/9/1
CS-LX36A2,C3932-0470,2015年分離變頻室內機(SAA版),陳縉融,2014/9/1
CS-LX40A2,C3932-0471,2015年分離變頻室內機(SAA版),陳縉融,2014/9/1
CS-LX50A2,C3932-0472,2015年分離變頻室內機(SAA版),陳縉融,2014/9/1
CS-LX63A2,C3932-0473,2015年分離變頻室內機(SAA版),陳縉融,2014/9/1
CS-LX71A2,C3932-0474,2015年分離變頻室內機(SAA版),陳縉融,2014/9/1
CS-LX80A2,C3932-0475,2015年分離變頻室內機(SAA版),陳縉融,2014/9/1
CS-LX90A2,C3932-0476,2015年分離變頻室內機(SAA版),陳縉融,2014/9/1
CS-J63A2,C3932-0477,2015年分離變頻室內機,廖啟宏,2014/9/1
CS-J71A2,C3932-0478,2015年分離變頻室內機,廖啟宏,2014/9/1
CS-J80A2,C3932-0479,2015年分離變頻室內機,廖啟宏,2014/9/1
CS-J90A2,C3932-0480,2015年分離變頻室內機,廖啟宏,2014/9/1
CS-LJ63A2,C3932-0481,2015年分離變頻室內機,廖啟宏,2014/9/1
CS-LJ71A2,C3932-0482,2015年分離變頻室內機,廖啟宏,2014/9/1
CS-LJ80A2,C3932-0483,2015年分離變頻室內機,廖啟宏,2014/9/1
CS-LJ90A2,C3932-0484,2015年分離變頻室內機,廖啟宏,2014/9/1
CS-PS36RKV,C3932-0485,2015年分離變頻室內機(中南美),廖啟宏,2014/9/1
CS-J20A2,C3932-0486,2015年分離變頻室內機,廖啟宏,2014/9/1
CS-J25A2,C3932-0487,2015年分離變頻室內機,廖啟宏,2014/9/1
CS-J36A2,C3932-0488,2015年分離變頻室內機,廖啟宏,2014/9/1
CS-J40A2,C3932-0489,2015年分離變頻室內機,廖啟宏,2014/9/1
CS-J50A2,C3932-0490,2015年分離變頻室內機,廖啟宏,2014/9/1
F-YCL27C,C3932-0491,2015年中國向除濕機,廖啟宏,2015/6/5
,C3932-0492,,,
CS-LJ22A2,C3932-0493,2015年分離變頻室內機,廖啟宏,2014/9/1
CS-LJ28A2,C3932-0494,2015年分離變頻室內機,廖啟宏,2014/9/1
CS-LJ36A2,C3932-0495,2015年分離變頻室內機,廖啟宏,2014/9/1
CS-LJ40A2,C3932-0496,2015年分離變頻室內機,廖啟宏,2014/9/1
CS-LJ50A2,C3932-0497,2015年分離變頻室內機,廖啟宏,2014/9/1
,C3932-0498,,,
,C3932-0499,,,
CS-J20DA2-W,C3932-0500,2015年J系列 DUCT室內機(SAA版),陳縉融,2014/9/2
CS-J25DA2-W,C3932-0501,2015年J系列 DUCT室內機(SAA版),陳縉融,2014/9/2
CS-J32DA2-W,C3932-0502,2015年J系列 DUCT室內機(SAA版),陳縉融,2014/9/2
CS-J36DA2-W,C3932-0503,2015年J系列 DUCT室內機(SAA版),陳縉融,2014/9/2
CS-J45DA2-W,C3932-0504,2015年J系列 DUCT室內機(SAA版),陳縉融,2014/9/2
CS-J56DA2-W,C3932-0505,2015年J系列 DUCT室內機(SAA版),陳縉融,2014/9/2
CS-J63DA2-W,C3932-0506,2015年J系列 DUCT室內機(SAA版),陳縉融,2014/9/2
CS-J71DA2-W,C3932-0507,2015年J系列 DUCT室內機(SAA版),陳縉融,2014/9/2
CS-J90DA2-W,C3932-0508,2015年J系列 DUCT室內機(SAA版),陳縉融,2014/9/2
CS-K22A2,C3932-0509,2015年分離變頻室內機,廖啟宏,2014/9/9
CS-K28A2,C3932-0510,2015年分離變頻室內機,廖啟宏,2014/9/9
CS-K36A2,C3932-0511,2015年分離變頻室內機,廖啟宏,2014/9/9
CS-K40A2,C3932-0512,2015年分離變頻室內機,廖啟宏,2014/9/9
CS-K50A2,C3932-0513,2015年分離變頻室內機,廖啟宏,2014/9/9
,C3932-0514,,,
,C3932-0515,,,
CS-J22-110DA2 ,C3932-0516,2012年J系列 DUCT 室内機 INV 機種 (新設變),高士淵,2014/9/26
CU-LJ63/71VHA2,C3932-0517,2015年一對一大型機種,蔣育宏,2014/10/8
CU-PS36RKV,C3932-0518,2015年中南美向機種,蔣育宏,2014/10/8
CS-LJ63~90VA2,C3932-0519,2015年分離變頻室內機,廖啟宏,2014/10/9
CS-LX110A2,C3932-0520,2015年分離變頻室內機,陳縉融,2014/10/21
CS-PS36RKV,C3932-0521,2015年中南美向分離變頻室內機,廖啟宏,2014/10/21
CS-J110DA2 ,C3932-0522,2015年J系列 DUCT 室内機 INV 機種,高士淵,2014/10/21
F-YCL27N,C3932-0523,2015年紐西蘭向除濕機,廖啟宏,2014/10/23
KSA-252DV01,C3932-0524,2015年歌林向分離變頻室內機,劉俊佑,2014/11/13
KSA-362DV01,C3932-0525,2015年歌林向分離變頻室內機,劉俊佑,2014/11/13
,C3932-0526,,,
,C3932-0527,,,
CS-K22CA2,C3932-0528,2015年K系列分離變頻室內機(潮州車站案),廖啟宏,2014/11/19
CS-K28CA2,C3932-0529,2015年K系列分離變頻室內機(潮州車站案),廖啟宏,2014/11/19
CS-K63A2,C3932-0530,2015年分離變頻室內機,廖啟宏,2014/11/19
CS-K71A2,C3932-0531,2015年分離變頻室內機,廖啟宏,2014/11/19
CU-LX22CA2-02,C3932-0532,2015年分離變頻室外機,劉俊佑,2014/11/28
CU-LX28CA2-02,C3932-0533,2015年分離變頻室外機,劉俊佑,2014/11/28
CU-LX22HA2-02,C3932-0534,2015年分離變頻室外機,劉俊佑,2014/11/28
CU-LX28HA2-02,C3932-0535,2015年分離變頻室外機,劉俊佑,2014/11/28
CS-LX110HA2,C3932-0536,2015年分離變頻室內機,陳縉融,2014/12/11
CU-L140HA3,C3932-0537,2015年 新機種 (店鋪系列室外機),高士淵,2014/12/12
CS-L140UA2,C3932-0538,2015年 新機種 (店鋪系列室內機),高士淵,2014/12/12
CS-L140DA2,C3932-0539,2015年 新機種 (店鋪系列DUCT內機),高士淵,2014/12/12
CU-L140HA3,C3932-0540,2015年 新機種 (店鋪系列室外機),高士淵,2014/12/12
CS-L140UA2,C3932-0541,2015年 新機種 (店鋪系列室內機),高士淵,2014/12/12
CS-L140DA2,C3932-0542,2015年 新機種 (店鋪系列DUCT內機),高士淵,2014/12/12
CS-L70UA2,C3932-0543,2015年 新機種 (店鋪系列 1對2 四方吹內機),高士淵,2014/12/26
CS-L70DA2,C3932-0544,2015年 新機種 (店鋪系列 1對2 DUCT內機),高士淵,2014/12/26
CU-LX22CA2-01,C3932-0545,2015年分離變頻室外機,蔣育宏,2015/1/26
CU-LX50CA2-01,C3932-0546,2015年分離變頻室外機,蔣育宏,2015/1/26
CU-LX63CA2-01,C3932-0547,2015年分離變頻室外機,蔣育宏,2015/1/26
CU-LX71CA2-01,C3932-0548,2015年分離變頻室外機,蔣育宏,2015/1/26
CU-LX80CA2-01,C3932-0549,2015年分離變頻室外機,蔣育宏,2015/1/26
CU-LX90CA2-01,C3932-0550,2015年分離變頻室外機,蔣育宏,2015/1/26
CU-LX22HA2-01,C3932-0551,2015年分離變頻室外機,蔣育宏,2015/1/26
CU-LX50HA2-01,C3932-0552,2015年分離變頻室外機,蔣育宏,2015/1/26
CU-LX63HA2-01,C3932-0553,2015年分離變頻室外機,蔣育宏,2015/1/26
CU-LX71HA2-01,C3932-0554,2015年分離變頻室外機,蔣育宏,2015/1/26
CU-LX80HA2-01,C3932-0555,2015年分離變頻室外機,蔣育宏,2015/1/26
CU-LX90HA2-01,C3932-0556,2015年分離變頻室外機,蔣育宏,2015/1/26
CS-LX63A2-01,C3932-0557,2015年分離變頻室內機,陳縉融,2015/1/26
CS-LX71A2-01,C3932-0558,2015年分離變頻室內機,陳縉融,2015/1/26
CS-LX80A2-01,C3932-0559,2015年分離變頻室內機,陳縉融,2015/1/26
CS-LX90A2-01,C3932-0560,2015年分離變頻室內機,陳縉融,2015/1/26
CU-J20CA2-04,C3932-0561,2015年分離變頻室內機,劉俊佑,2015/2/12
CU-J25CA2-04,C3932-0562,2015年分離變頻室內機,劉俊佑,2015/2/12
CU-J20HA2-04,C3932-0563,2015年分離變頻室內機,劉俊佑,2015/2/12
CU-J25HA2-04,C3932-0564,2015年分離變頻室內機,劉俊佑,2015/2/12
CU-K22CA2-02,C3932-0565,2015年分離變頻室內機,劉俊佑,2015/2/12
CU-K28CA2-02,C3932-0566,2015年分離變頻室內機,劉俊佑,2015/2/12
CU-LJ22CA2,C3932-0567,2015年分離變頻室內機,劉俊佑,2015/2/12
CU-LJ28CA2,C3932-0568,2015年分離變頻室內機,劉俊佑,2015/2/12
CU-LJ22HA2,C3932-0569,2015年分離變頻室內機,劉俊佑,2015/2/12
CU-LJ28HA2,C3932-0570,2015年分離變頻室內機,劉俊佑,2015/2/12
CU-LX110系列,C3932-0571,2015年11kW變頻機種,蔣育宏,2015/2/24
CS-J25DA2,C3932-0572,2015年DUCT室內機市場服務黃'R用,游立豪,2015/3/26
CS-J56DA2,C3932-0573,2015年DUCT室內機市場服務黃'R用,游立豪,2015/3/26
CU-4J150CA2,C3932-0574,2015年一對多室外機INV機種(15kW),蔣育宏,2015/4/27
CU-4J150HA2,C3932-0575,2015年一對多室外機INV機種(15kW),蔣育宏,2015/4/27
F-YCM14C,C3932-0576,2016年除濕機,廖啟宏,2016/7/12
F-YCM33H,C3932-0577,2016年除濕機,廖啟宏,2016/7/12
F-Y20DHW,C3932-0578,2016年除濕機,廖啟宏,2016/7/12
F-Y26DHW,C3932-0579,2016年除濕機,廖啟宏,2016/7/12
F-Y44CXW,C3932-0580,2015年除濕機,廖啟宏,2015/5/12
CU-4J150系列,C3932-0581,2015年一對多室外機INV機種(15kW),蔣育宏,2015/5/20
CS-J20VA2,C3932-0582,2016年J系列分離變頻室內機,劉俊佑,2015/9/1
CS-J25VA2,C3932-0583,2016年J系列分離變頻室內機,劉俊佑,2015/9/1
CS-J36VA2,C3932-0584,2016年J系列分離變頻室內機,劉俊佑,2015/9/1
CS-J40VA2,C3932-0585,2016年J系列分離變頻室內機,劉俊佑,2015/9/1
CS-J50VA2,C3932-0586,2016年J系列分離變頻室內機,劉俊佑,2015/9/1
CS-J63VA2,C3932-0587,2016年J系列分離變頻室內機,劉俊佑,2015/9/1
CS-J71VA2,C3932-0588,2016年J系列分離變頻室內機,劉俊佑,2015/9/1
CS-J80VA2,C3932-0589,2016年J系列分離變頻室內機,劉俊佑,2015/9/1
CS-J90VA2,C3932-0590,2016年J系列分離變頻室內機,劉俊佑,2015/9/1
CS-LJ22VA2,C3932-0591,2016年LJ系列分離變頻室內機,劉俊佑,2015/9/1
CS-LJ28VA2,C3932-0592,2016年LJ系列分離變頻室內機,劉俊佑,2015/9/1
CS-LJ36VA2,C3932-0593,2016年LJ系列分離變頻室內機,劉俊佑,2015/9/1
CS-LJ40VA2,C3932-0594,2016年LJ系列分離變頻室內機,劉俊佑,2015/9/1
CS-LJ50VA2,C3932-0595,2016年LJ系列分離變頻室內機,劉俊佑,2015/9/1
CS-LJ63VA2,C3932-0596,2016年LJ系列分離變頻室內機,劉俊佑,2015/9/1
CS-LJ71VA2,C3932-0597,2016年LJ系列分離變頻室內機,劉俊佑,2015/9/1
CS-LJ80VA2,C3932-0598,2016年LJ系列分離變頻室內機,劉俊佑,2015/9/1
CS-LJ90VA2,C3932-0599,2016年LJ系列分離變頻室內機,劉俊佑,2015/9/1
CS-LX22A2,C3932-0600,2016年分離變頻室內機(對應SMART APP),陳縉融,2015/10/8
CS-LX28A2,C3932-0601,2016年分離變頻室內機(對應SMART APP),陳縉融,2015/10/8
CS-LX36A2,C3932-0602,2016年分離變頻室內機(對應SMART APP),陳縉融,2015/10/8
CS-LX40A2,C3932-0603,2016年分離變頻室內機(對應SMART APP),陳縉融,2015/10/8
CS-LX50A2,C3932-0604,2016年分離變頻室內機(對應SMART APP),陳縉融,2015/10/8
CS-LX63A2,C3932-0605,2016年分離變頻室內機(對應SMART APP),陳縉融,2015/10/8
CS-LX71A2,C3932-0606,2016年分離變頻室內機(對應SMART APP),陳縉融,2015/10/8
CS-LX80A2,C3932-0607,2016年分離變頻室內機(對應SMART APP),陳縉融,2015/10/8
CS-LX90A2,C3932-0608,2016年分離變頻室內機(對應SMART APP),陳縉融,2015/10/8
CS-LX110A2,C3932-0609,2016年分離變頻室內機(對應SMART APP),陳縉融,2015/10/8
,C3932-0610,,,
,C3932-0611,,,
CU-LX40HA2-06,C3932-0612,2016年高EER對應,張書瑋,2015/10/8
CU-LX40CA2-06,C3932-0613,2016年高EER對應,張書瑋,2015/10/8
CS-LX28VA2,C3932-0614,2016年高EER對應 (LX V系列),劉俊佑,2016/1/7
CS-LX36VA2,C3932-0615,2016年高EER對應 (LX V系列),劉俊佑,2016/1/7
CS-LX40VA2,C3932-0616,2016年高EER對應 (LX V系列),劉俊佑,2016/1/7
CS-LX50VA2,C3932-0617,2016年高EER對應 (LX V系列),劉俊佑,2016/1/7
CU-LX22~110系列,C3932-0618,2016年分離變頻室內機(對應SMART APP),陳縉融,2015/10/28
CS-J22A2-K系列,C3932-0619,CS-J城市大學用,廖啟宏,2015/12/21
CU-L140HA2,C3932-0620,2016年 店鋪系列室外機,高士淵,2015/12/21
CU-L140HA2,C3932-0621,2016年 店鋪系列室外機,高士淵,2015/12/21
CU-LX28VCA2,C3932-0622,2016年高EER對應 (LX V系列),劉俊佑,2016/1/7
CU-LX36VCA2,C3932-0623,2016年高EER對應 (LX V系列),劉俊佑,2016/1/7
CU-LX40VCA2,C3932-0624,2016年高EER對應 (LX V系列),劉俊佑,2016/1/7
CU-LX50VCA2,C3932-0625,2016年高EER對應 (LX V系列),劉俊佑,2016/1/7
CU-LX28VHA2,C3932-0626,2016年高EER對應 (LX V系列),劉俊佑,2016/1/7
CU-LX36VHA2,C3932-0627,2016年高EER對應 (LX V系列),劉俊佑,2016/1/7
CU-LX40VHA2,C3932-0628,2016年高EER對應 (LX V系列),劉俊佑,2016/1/7
CU-LX50VHA2,C3932-0629,2016年高EER對應 (LX V系列),劉俊佑,2016/1/7
CS-PS36RKV-6,C3932-0630,2016年一對一室內側(墨西哥向),蔣育宏,2016/2/19
CU-PS36RKV-6,C3932-0631,2016年一對一室外側(墨西哥向),蔣育宏,2016/2/19
CS-J22YA2-00,C3932-0632,2017年CSPF對應 (J Y系列),劉俊佑,2016/3/15
CS-J28YA2-00,C3932-0633,2017年CSPF對應 (J Y系列),劉俊佑,2016/3/15
CS-J36YA2-00,C3932-0634,2017年CSPF對應 (J Y系列),劉俊佑,2016/3/15
CS-J40YA2-00,C3932-0635,2017年CSPF對應 (J Y系列),劉俊佑,2016/3/15
CS-J50YA2-00,C3932-0636,2017年CSPF對應 (J Y系列),劉俊佑,2016/3/15
CS-J63YA2-00,C3932-0637,2017年CSPF對應 (J Y系列),劉俊佑,2016/3/15
CS-J71YA2-00,C3932-0638,2017年CSPF對應 (J Y系列),劉俊佑,2016/3/15
CS-J80YA2-00,C3932-0639,2017年CSPF對應 (J Y系列),劉俊佑,2016/3/15
CS-J90YA2-00,C3932-0640,2017年CSPF對應 (J Y系列),劉俊佑,2016/3/15
CU-J22YCA2-00,C3932-0641,2017年CSPF對應 (J Y系列),劉俊佑,2016/3/15
CU-J28YCA2-00,C3932-0642,2017年CSPF對應 (J Y系列),劉俊佑,2016/3/15
CU-J36YCA2-00,C3932-0643,2017年CSPF對應 (J Y系列),劉俊佑,2016/3/15
CU-J40YCA2-00,C3932-0644,2017年CSPF對應 (J Y系列),劉俊佑,2016/3/15
CU-J50YCA2-00,C3932-0645,2017年CSPF對應 (J Y系列),劉俊佑,2016/3/15
CU-J63YCA2-00,C3932-0646,2017年CSPF對應 (J Y系列),劉俊佑,2016/3/15
CU-J71YCA2-00,C3932-0647,2017年CSPF對應 (J Y系列),劉俊佑,2016/3/15
CU-J80YCA2-00,C3932-0648,2017年CSPF對應 (J Y系列),劉俊佑,2016/3/15
CU-J90YCA2-00,C3932-0649,2017年CSPF對應 (J Y系列),劉俊佑,2016/3/15
CU-J22YHA2-00,C3932-0650,2017年CSPF對應 (J Y系列),劉俊佑,2016/3/15
CU-J28YHA2-00,C3932-0651,2017年CSPF對應 (J Y系列),劉俊佑,2016/3/15
CU-J36YHA2-00,C3932-0652,2017年CSPF對應 (J Y系列),劉俊佑,2016/3/15
CU-J40YHA2-00,C3932-0653,2017年CSPF對應 (J Y系列),劉俊佑,2016/3/15
CU-J50YHA2-00,C3932-0654,2017年CSPF對應 (J Y系列),劉俊佑,2016/3/15
CU-J63YHA2-00,C3932-0655,2017年CSPF對應 (J Y系列),劉俊佑,2016/3/15
CU-J71YHA2-00,C3932-0656,2017年CSPF對應 (J Y系列),劉俊佑,2016/3/15
CU-J80YHA2-00,C3932-0657,2017年CSPF對應 (J Y系列),劉俊佑,2016/3/15
CU-J90YHA2-00,C3932-0658,2017年CSPF對應 (J Y系列),劉俊佑,2016/3/15
CS-K22YA2-00,C3932-0659,2017年CSPF對應 (K Y系列),劉俊佑,2016/3/15
CS-K28YA2-00,C3932-0660,2017年CSPF對應 (K Y系列),劉俊佑,2016/3/15
CS-K36YA2-00,C3932-0661,2017年CSPF對應 (K Y系列),劉俊佑,2016/3/15
CS-K40YA2-00,C3932-0662,2017年CSPF對應 (K Y系列),劉俊佑,2016/3/15
CS-K50YA2-00,C3932-0663,2017年CSPF對應 (K Y系列),劉俊佑,2016/3/15
CS-K63YA2-00,C3932-0664,2017年CSPF對應 (K Y系列),劉俊佑,2016/3/15
CS-K71YA2-00,C3932-0665,2017年CSPF對應 (K Y系列),劉俊佑,2016/3/15
CU-K22YCA2-00,C3932-0666,2017年CSPF對應 (K Y系列),劉俊佑,2016/3/15
CU-K28YCA2-00,C3932-0667,2017年CSPF對應 (K Y系列),劉俊佑,2016/3/15
CU-K36YCA2-00,C3932-0668,2017年CSPF對應 (K Y系列),劉俊佑,2016/3/15
CU-K40YCA2-00,C3932-0669,2017年CSPF對應 (K Y系列),劉俊佑,2016/3/15
CU-K50YCA2-00,C3932-0670,2017年CSPF對應 (K Y系列),劉俊佑,2016/3/15
CU-K63YCA2-00,C3932-0671,2017年CSPF對應 (K Y系列),劉俊佑,2016/3/15
CU-K71YCA2-00,C3932-0672,2017年CSPF對應 (K Y系列),劉俊佑,2016/3/15
CS-LJ22YA2-00,C3932-0673,2017年CSPF對應 (LJ Y系列),劉俊佑,2016/3/15
CS-LJ28YA2-00,C3932-0674,2017年CSPF對應 (LJ Y系列),劉俊佑,2016/3/15
CS-LJ36YA2-00,C3932-0675,2017年CSPF對應 (LJ Y系列),劉俊佑,2016/3/15
CS-LJ40YA2-00,C3932-0676,2017年CSPF對應 (LJ Y系列),劉俊佑,2016/3/15
CS-LJ50YA2-00,C3932-0677,2017年CSPF對應 (LJ Y系列),劉俊佑,2016/3/15
CS-LJ63YA2-00,C3932-0678,2017年CSPF對應 (LJ Y系列),劉俊佑,2016/3/15
CS-LJ71YA2-00,C3932-0679,2017年CSPF對應 (LJ Y系列),劉俊佑,2016/3/15
CS-LJ80YA2-00,C3932-0680,2017年CSPF對應 (LJ Y系列),劉俊佑,2016/3/15
CS-LJ90YA2-00,C3932-0681,2017年CSPF對應 (LJ Y系列),劉俊佑,2016/3/15
CU-LJ22YCA2-00,C3932-0682,2017年CSPF對應 (LJ Y系列),劉俊佑,2016/3/15
CU-LJ28YCA2-00,C3932-0683,2017年CSPF對應 (LJ Y系列),劉俊佑,2016/3/15
CU-LJ36YCA2-00,C3932-0684,2017年CSPF對應 (LJ Y系列),劉俊佑,2016/3/15
CU-LJ40YCA2-00,C3932-0685,2017年CSPF對應 (LJ Y系列),劉俊佑,2016/3/15
CU-LJ50YCA2-00,C3932-0686,2017年CSPF對應 (LJ Y系列),劉俊佑,2016/3/15
CU-LJ63YCA2-00,C3932-0687,2017年CSPF對應 (LJ Y系列),劉俊佑,2016/3/15
CU-LJ71YCA2-00,C3932-0688,2017年CSPF對應 (LJ Y系列),劉俊佑,2016/3/15
CU-LJ80YCA2-00,C3932-0689,2017年CSPF對應 (LJ Y系列),劉俊佑,2016/3/15
CU-LJ90YCA2-00,C3932-0690,2017年CSPF對應 (LJ Y系列),劉俊佑,2016/3/15
CU-LJ22YHA2-00,C3932-0691,2017年CSPF對應 (LJ Y系列),劉俊佑,2016/3/15
CU-LJ28YHA2-00,C3932-0692,2017年CSPF對應 (LJ Y系列),劉俊佑,2016/3/15
CU-LJ36YHA2-00,C3932-0693,2017年CSPF對應 (LJ Y系列),劉俊佑,2016/3/15
CU-LJ40YHA2-00,C3932-0694,2017年CSPF對應 (LJ Y系列),劉俊佑,2016/3/15
CU-LJ50YHA2-00,C3932-0695,2017年CSPF對應 (LJ Y系列),劉俊佑,2016/3/15
CU-LJ63YHA2-00,C3932-0696,2017年CSPF對應 (LJ Y系列),劉俊佑,2016/3/15
CU-LJ71YHA2-00,C3932-0697,2017年CSPF對應 (LJ Y系列),劉俊佑,2016/3/15
CU-LJ80YHA2-00,C3932-0698,2017年CSPF對應 (LJ Y系列),劉俊佑,2016/3/15
CU-LJ90YHA2-00,C3932-0699,2017年CSPF對應 (LJ Y系列),劉俊佑,2016/3/15
CS-LX22YA2-00,C3932-0700,2017年CSPF對應 (LX Y系列),劉俊佑,2016/3/15
CS-LX28YA2-00,C3932-0701,2017年CSPF對應 (LX Y系列),劉俊佑,2016/3/15
CS-LX36YA2-00,C3932-0702,2017年CSPF對應 (LX Y系列),劉俊佑,2016/3/15
CS-LX40YA2-00,C3932-0703,2017年CSPF對應 (LX Y系列),劉俊佑,2016/3/15
CS-LX50YA2-00,C3932-0704,2017年CSPF對應 (LX Y系列),劉俊佑,2016/3/15
CS-LX63YA2-00,C3932-0705,2017年CSPF對應 (LX Y系列),劉俊佑,2016/3/15
CS-LX71YA2-00,C3932-0706,2017年CSPF對應 (LX Y系列),劉俊佑,2016/3/15
CS-LX80YA2-00,C3932-0707,2017年CSPF對應 (LX Y系列),劉俊佑,2016/3/15
CS-LX90YA2-00,C3932-0708,2017年CSPF對應 (LX Y系列),劉俊佑,2016/3/15
CS-LX110YA2-00,C3932-0709,2017年CSPF對應 (LX Y系列),劉俊佑,2016/3/15
CU-LX22YCA2-00,C3932-0710,2017年CSPF對應 (LX Y系列),劉俊佑,2016/3/15
CU-LX28YCA2-00,C3932-0711,2017年CSPF對應 (LX Y系列),劉俊佑,2016/3/15
CU-LX36YCA2-00,C3932-0712,2017年CSPF對應 (LX Y系列),劉俊佑,2016/3/15
CU-LX40YCA2-00,C3932-0713,2017年CSPF對應 (LX Y系列),劉俊佑,2016/3/15
CU-LX50YCA2-00,C3932-0714,2017年CSPF對應 (LX Y系列),劉俊佑,2016/3/15
CU-LX63YCA2-00,C3932-0715,2017年CSPF對應 (LX Y系列),劉俊佑,2016/3/15
CU-LX71YCA2-00,C3932-0716,2017年CSPF對應 (LX Y系列),劉俊佑,2016/3/15
CU-LX80YCA2-00,C3932-0717,2017年CSPF對應 (LX Y系列),劉俊佑,2016/3/15
CU-LX90YCA2-00,C3932-0718,2017年CSPF對應 (LX Y系列),劉俊佑,2016/3/15
CU-LX22YHA2-00,C3932-0719,2017年CSPF對應 (LX Y系列),劉俊佑,2016/3/15
CU-LX28YHA2-00,C3932-0720,2017年CSPF對應 (LX Y系列),劉俊佑,2016/3/15
CU-LX36YHA2-00,C3932-0721,2017年CSPF對應 (LX Y系列),劉俊佑,2016/3/15
CU-LX40YHA2-00,C3932-0722,2017年CSPF對應 (LX Y系列),劉俊佑,2016/3/15
CU-LX50YHA2-00,C3932-0723,2017年CSPF對應 (LX Y系列),劉俊佑,2016/3/15
CU-LX63YHA2-00,C3932-0724,2017年CSPF對應 (LX Y系列),劉俊佑,2016/3/15
CU-LX71YHA2-00,C3932-0725,2017年CSPF對應 (LX Y系列),劉俊佑,2016/3/15
CU-LX80YHA2-00,C3932-0726,2017年CSPF對應 (LX Y系列),劉俊佑,2016/3/15
CU-LX90YHA2-00,C3932-0727,2017年CSPF對應 (LX Y系列),劉俊佑,2016/3/15
CU-LX110YCA2-00,C3932-0728,2017年CSPF對應 (LX Y系列),劉俊佑,2016/3/15
CU-LX110YHA2-00,C3932-0729,2017年CSPF對應 (LX Y系列),劉俊佑,2016/3/15
CS-J25A2,C3932-0730,城市科大專案,廖啟宏,2016/3/16
CS-J40A2,C3932-0731,城市科大專案,廖啟宏,2016/3/16
CS-J63A2,C3932-0732,城市科大專案,廖啟宏,2016/3/16
CS-LJ22VA2,C3932-0733,LJV/JV系列  室內機 INV 機種,林俊宇,2016/3/31
CS-LJ22VA2,C3932-0734,LJV/JV室內溫度不準對應,林俊宇,2016/3/31
CU-K22YHA2-00,C3932-0735,2017年CSPF對應 (K Y系列),劉俊佑,2016/4/21
CU-K28YHA2-00,C3932-0736,2017年CSPF對應 (K Y系列),劉俊佑,2016/4/21
CU-K36YHA2-00,C3932-0737,2017年CSPF對應 (K Y系列),劉俊佑,2016/4/21
CU-K40YHA2-00,C3932-0738,2017年CSPF對應 (K Y系列),劉俊佑,2016/4/21
CU-K50YHA2-00,C3932-0739,2017年CSPF對應 (K Y系列),劉俊佑,2016/4/21
CU-K63YHA2-00,C3932-0740,2017年CSPF對應 (K Y系列),劉俊佑,2016/4/21
CU-K71YHA2-00,C3932-0741,2017年CSPF對應 (K Y系列),劉俊佑,2016/4/21
CW-M28HA2,C3932-0742,2016年CSPF對應(CW M系列),郭武彬,2016/5/5
CW-M36HA2,C3932-0743,2016年CSPF對應(CW M系列),郭武彬,2016/5/5
CW-M40HA2,C3932-0744,2016年CSPF對應(CW M系列),郭武彬,2016/5/5
CW-M50HA2,C3932-0745,2016年CSPF對應(CW M系列),郭武彬,2016/5/5
CU-5M150CA2,C3932-0746,2017年搭配EV箱外機新機種,陳彥宏,2016/5/12
CU-5M150HA2,C3932-0747,2017年搭配EV箱外機新機種,陳彥宏,2016/5/12
CZ-H009,C3932-0748,2017年EV箱,陳彥宏,2016/5/12
CW-G50HA2,C3932-0749,慈濟案窗型加Modbus機種,塗劍峰,2016/5/12
CU-2J52YCA2,C3932-0750,2017年CSPF對應一對多機種,蔣育宏,2016/6/22
CU-2J63YCA2,C3932-0751,2017年CSPF對應一對多機種,蔣育宏,2016/6/22
CU-2J83YCA2,C3932-0752,2017年CSPF對應一對多機種,蔣育宏,2016/6/22
CU-3J90YCA2,C3932-0753,2017年CSPF對應一對多機種,蔣育宏,2016/6/22
CU-4J100YCA2,C3932-0754,2017年CSPF對應一對多機種,蔣育宏,2016/6/22
CU-4J130YCA2,C3932-0755,2017年CSPF對應一對多機種,蔣育宏,2016/6/22
CU-4J150YCA2,C3932-0756,2017年CSPF對應一對多機種,蔣育宏,2016/6/22
CU-2J52YHA2,C3932-0757,2017年CSPF對應一對多機種,蔣育宏,2016/6/22
CU-2J63YHA2,C3932-0758,2017年CSPF對應一對多機種,蔣育宏,2016/6/22
CU-2J83YHA2,C3932-0759,2017年CSPF對應一對多機種,蔣育宏,2016/6/22
CU-3J90YHA2,C3932-0760,2017年CSPF對應一對多機種,蔣育宏,2016/6/22
CU-4J100YHA2,C3932-0761,2017年CSPF對應一對多機種,蔣育宏,2016/6/22
CU-4J130YHA2,C3932-0762,2017年CSPF對應一對多機種,蔣育宏,2016/6/22
CU-4J150YHA2,C3932-0763,2017年CSPF對應一對多機種,蔣育宏,2016/6/22
CU-LX110YCA2,C3932-0764,2017年CSPF對應一對多機種,蔣育宏,2016/6/24
CU-LX110YHA2,C3932-0765,2017年CSPF對應一對多機種,蔣育宏,2016/6/24
CS-PX22A2,C3932-0766,2017年新一對一機種,林信成,2016/6/30
CS-PX28A2,C3932-0767,2017年新一對一機種,林信成,2016/6/30
CS-PX36A2,C3932-0768,2017年新一對一機種,林信成,2016/6/30
